tfidfScore,skillScore,matchedCount,missingCount,experienceYears,programmingScore,backendScore,frontendScore,databaseScore,cloudScore,devopsScore,label
6.795,25.98,17.0,27.0,9.3,86.08,82.09,32.15,80.73,7.19,11.87,0
19.355,63.401,10.0,16.0,8.1,34.62,42.89,99.82,76.3,4.6,2.9,1
5.231,53.999,22.0,19.0,8.7,65.38,18.9,99.62,38.62,35.3,11.29,1
20.728,77.985,21.0,22.0,5.9,35.02,28.18,19.12,95.44,96.93,43.12,1
11.602,10.698,16.0,31.0,7.6,61.72,26.75,31.27,91.06,31.87,68.7,0
28.102,76.103,4.0,32.0,9.7,88.48,51.92,48.6,96.23,40.99,28.93,1
4.126,54.127,10.0,4.0,4.8,23.14,23.44,66.41,42.79,63.41,84.97,1
10.232,96.299,29.0,33.0,9.7,40.42,12.36,52.8,19.75,2.41,43.76,1
3.404,34.187,14.0,10.0,7.1,99.33,12.37,96.94,62.67,89.78,96.82,1
27.741,63.262,26.0,2.0,2.0,86.86,58.33,72.4,68.48,51.94,95.42,1
26.32,93.203,32.0,32.0,0.3,56.46,73.48,21.2,12.54,46.68,77.33,1
7.738,10.251,19.0,10.0,4.4,51.66,32.15,10.51,78.65,86.07,93.24,0
19.8,93.723,15.0,15.0,6.6,28.46,3.47,68.84,1.81,95.31,70.71,1
24.517,68.789,33.0,17.0,10.1,51.72,12.72,15.85,48.27,42.34,89.56,1
16.656,6.784,1.0,29.0,1.5,84.82,91.47,78.77,33.1,17.24,23.65,0
15.89,30.096,27.0,9.0,9.6,68.52,49.35,31.1,74.03,81.57,34.54,1
7.256,70.817,5.0,17.0,10.4,29.0,45.36,32.69,31.28,40.33,75.29,1
2.793,6.735,8.0,18.0,1.8,20.15,3.8,1.08,82.68,93.55,42.46,0
26.916,58.217,19.0,12.0,10.2,26.52,72.86,70.1,59.5,94.99,83.73,1
27.013,34.588,0.0,2.0,11.9,16.98,52.81,11.33,79.39,11.48,87.76,1
18.993,62.092,7.0,9.0,8.7,9.56,20.21,77.29,98.93,95.66,29.97,1
10.171,4.574,22.0,0.0,9.4,41.91,11.01,49.19,67.92,36.83,82.35,0
10.476,87.154,2.0,26.0,11.9,11.33,38.34,78.43,98.5,64.63,15.43,1
21.779,97.349,3.0,7.0,7.3,17.19,83.72,58.39,2.88,3.48,33.42,1
26.913,96.888,24.0,16.0,3.7,54.73,86.53,8.24,33.81,88.89,51.8,1
26.613,74.965,14.0,8.0,10.1,16.46,60.28,76.57,10.79,64.16,22.64,1
23.396,13.009,20.0,5.0,7.4,6.39,72.75,6.98,26.23,64.36,57.93,0
19.261,75.826,13.0,24.0,7.0,31.74,11.52,47.87,83.89,90.22,57.87,1
2.524,2.459,11.0,27.0,3.0,22.03,58.81,17.23,3.23,50.83,20.69,0
4.849,2.212,16.0,32.0,9.1,51.53,66.7,75.23,52.02,41.05,79.56,0
26.957,32.361,8.0,8.0,1.0,10.24,20.07,91.16,56.71,86.61,63.16,1
18.193,48.864,12.0,17.0,11.1,75.18,88.02,55.41,56.12,74.24,31.78,1
0.276,77.041,14.0,20.0,3.9,90.62,19.5,52.71,47.53,94.9,23.22,1
3.044,68.33,17.0,1.0,1.5,74.34,31.35,76.4,79.06,94.01,87.88,1
19.905,44.59,32.0,14.0,5.3,53.28,62.06,0.51,13.35,38.23,83.57,1
0.152,27.363,5.0,27.0,0.5,86.07,63.84,91.78,31.06,44.7,22.98,0
4.824,99.712,26.0,17.0,8.2,69.49,69.94,19.74,61.57,25.6,3.56,1
16.462,42.618,22.0,33.0,10.8,1.06,11.2,98.41,69.1,66.06,80.45,1
20.757,45.139,26.0,21.0,10.0,39.41,84.95,73.63,40.41,36.45,61.55,1
19.559,16.362,33.0,10.0,1.5,85.1,53.28,77.43,87.54,78.61,10.09,0
6.728,79.481,13.0,12.0,1.5,34.59,47.13,65.62,41.55,12.16,58.74,1
21.365,69.368,7.0,3.0,9.8,3.52,98.11,47.17,40.28,11.64,45.22,1
7.117,22.077,18.0,21.0,11.1,74.62,74.04,57.16,3.62,20.45,77.46,0
9.762,8.238,29.0,6.0,5.5,80.2,11.8,4.64,55.11,8.43,20.91,0
22.395,68.05,13.0,23.0,6.0,16.06,75.65,62.4,70.87,62.0,45.32,1
19.489,65.451,19.0,3.0,3.8,53.73,9.52,62.61,11.44,14.74,15.62,1
25.477,27.326,24.0,27.0,10.7,19.2,2.75,89.12,30.54,16.0,95.75,1
19.728,95.086,23.0,14.0,7.7,71.92,40.36,50.57,78.13,1.42,77.87,1
17.049,15.106,13.0,0.0,3.5,27.16,99.36,7.71,36.59,78.21,73.67,0
2.81,43.233,25.0,2.0,3.6,31.62,17.49,30.62,24.16,81.23,69.02,1
11.031,94.362,22.0,13.0,10.7,84.5,67.26,65.56,67.22,16.2,42.33,1
7.956,41.973,21.0,0.0,0.2,47.63,17.34,23.93,19.68,73.95,92.33,0
7.32,63.853,18.0,20.0,3.9,66.98,72.48,28.05,89.57,43.35,7.29,1
29.19,39.759,2.0,28.0,6.7,40.24,50.54,82.05,10.56,23.96,80.33,1
11.793,27.422,18.0,4.0,1.8,29.8,68.0,58.43,70.65,62.14,21.52,0
26.761,98.398,8.0,9.0,1.1,62.55,20.29,50.85,49.95,17.85,32.4,1
18.934,40.933,27.0,27.0,9.8,15.49,74.56,31.85,86.99,75.69,51.94,1
23.844,89.41,19.0,20.0,10.7,37.3,99.56,73.09,12.62,4.76,78.27,1
15.079,22.995,6.0,6.0,9.9,20.9,66.57,28.77,67.79,95.91,83.85,0
17.307,21.31,13.0,2.0,10.8,69.58,49.35,73.71,57.21,7.19,58.37,0
14.776,3.113,8.0,19.0,6.6,94.42,92.32,7.01,48.01,57.94,40.3,0
5.857,65.167,18.0,18.0,9.7,99.55,1.59,86.45,49.14,90.22,94.65,1
21.674,36.853,13.0,3.0,4.6,45.03,72.99,49.96,72.2,1.19,24.65,1
8.423,86.436,16.0,4.0,8.0,25.25,88.87,43.85,93.77,49.85,80.31,1
0.729,47.321,29.0,0.0,11.9,44.28,6.17,61.1,9.13,35.0,61.2,1
19.364,96.819,8.0,3.0,2.7,84.73,45.01,62.42,1.95,58.03,37.69,1
5.313,18.553,32.0,11.0,4.7,20.6,20.47,13.2,80.57,22.55,0.14,0
28.214,86.862,24.0,26.0,5.8,95.21,56.65,75.62,10.82,6.49,44.66,1
28.618,77.66,13.0,22.0,1.7,34.19,64.95,27.59,98.67,62.59,27.67,1
27.446,77.092,10.0,24.0,1.0,98.58,30.26,90.5,61.93,41.68,10.43,1
11.105,84.478,13.0,20.0,10.0,83.86,46.0,81.79,65.09,62.25,7.52,1
0.464,76.102,29.0,23.0,11.7,80.86,27.93,34.63,19.89,21.05,34.76,1
27.85,62.622,3.0,24.0,4.9,31.79,36.94,80.77,24.03,33.87,61.48,1
12.846,13.124,3.0,31.0,1.1,0.88,15.95,35.64,65.94,56.17,83.75,0
29.0,3.253,27.0,31.0,0.8,38.21,88.56,10.09,90.97,59.31,18.36,0
28.909,92.085,7.0,4.0,10.7,30.18,1.0,96.19,98.24,37.23,42.46,1
25.59,61.665,1.0,15.0,5.6,3.74,88.24,65.26,19.8,28.01,39.2,1
8.833,79.654,21.0,32.0,3.8,50.54,57.17,45.61,13.41,27.37,51.34,1
11.553,48.152,15.0,20.0,5.7,40.3,33.17,39.78,5.64,17.47,80.96,1
25.534,11.731,28.0,8.0,3.8,63.46,72.31,32.47,86.83,32.54,55.36,0
9.508,12.519,29.0,5.0,5.9,62.12,50.78,98.14,29.47,19.94,84.67,0
5.085,68.557,11.0,21.0,10.3,12.07,49.91,13.47,0.18,63.38,51.86,1
16.704,43.031,10.0,4.0,7.1,97.7,11.01,31.48,22.38,56.91,60.38,1
28.085,20.052,20.0,22.0,8.3,18.69,38.95,48.55,34.04,38.26,43.74,1
20.881,49.159,20.0,16.0,4.4,44.53,24.11,47.8,99.1,32.58,82.31,1
17.102,6.421,4.0,11.0,8.9,48.81,1.57,47.14,52.35,23.76,92.38,0
2.915,58.197,19.0,22.0,8.0,81.31,36.01,17.58,20.47,53.55,63.91,1
18.45,26.899,2.0,15.0,1.4,9.92,8.98,14.49,33.48,91.89,82.08,0
29.702,79.756,32.0,2.0,6.9,42.86,25.68,25.48,33.03,68.57,5.9,1
4.203,31.036,8.0,29.0,3.1,62.85,9.25,91.45,1.97,74.44,90.61,0
15.55,45.522,8.0,21.0,9.6,21.52,10.09,11.31,13.52,83.44,18.89,1
26.321,1.162,3.0,8.0,5.1,62.75,19.9,75.74,69.52,35.16,25.65,0
22.223,7.245,16.0,28.0,11.9,92.37,99.98,75.75,12.03,6.29,5.33,0
20.91,39.249,33.0,22.0,1.1,99.75,0.22,80.98,23.07,62.26,96.54,1
21.075,47.994,23.0,12.0,9.4,3.25,63.87,88.66,35.07,18.87,85.2,1
10.785,60.002,31.0,31.0,8.1,23.56,14.12,26.3,75.77,56.9,91.32,1
8.808,29.166,0.0,22.0,9.2,31.03,92.06,22.46,58.24,73.95,84.72,1
24.281,69.498,7.0,16.0,3.7,39.91,9.36,46.55,68.9,78.36,47.95,1
24.303,86.012,22.0,20.0,5.9,24.23,95.51,26.51,56.7,30.18,92.41,1
26.012,77.985,11.0,1.0,9.6,20.35,61.09,73.43,68.36,51.24,96.95,1
27.397,3.962,11.0,5.0,2.8,95.46,0.13,63.59,0.28,62.1,50.26,0
15.34,48.051,14.0,17.0,2.7,91.85,89.4,87.5,93.09,81.95,17.56,1
15.045,10.493,18.0,29.0,6.6,4.7,52.17,8.27,11.09,76.14,65.86,0
23.949,24.205,25.0,21.0,6.3,33.88,26.27,91.51,40.62,98.8,97.54,1
19.499,98.666,28.0,32.0,3.4,40.51,76.73,29.33,77.1,0.81,87.21,1
21.059,14.25,21.0,29.0,3.6,23.9,92.67,49.07,43.52,43.75,86.18,0
23.874,49.889,20.0,16.0,3.3,62.89,48.37,43.86,94.68,25.6,93.38,1
26.7,61.816,19.0,31.0,9.3,64.04,31.56,76.03,46.76,11.99,89.4,1
10.14,70.246,28.0,13.0,7.8,85.05,78.89,42.03,87.49,91.15,77.63,1
11.267,55.965,3.0,9.0,10.0,74.09,68.18,94.36,81.08,99.8,71.83,1
2.819,0.977,6.0,33.0,11.7,54.26,88.88,90.25,98.1,18.06,26.48,0
17.348,32.646,27.0,8.0,5.7,65.36,69.25,87.22,92.65,3.84,62.13,1
1.078,51.771,27.0,27.0,0.8,27.4,24.35,7.13,89.81,27.51,52.15,1
13.968,8.787,3.0,10.0,0.6,59.31,93.17,85.43,73.16,83.49,86.19,0
16.279,35.063,21.0,13.0,3.5,48.92,10.48,78.16,36.7,29.39,49.17,1
8.596,3.32,11.0,18.0,11.2,13.33,26.79,10.35,10.61,5.69,12.77,0
17.725,7.858,2.0,14.0,6.3,24.25,52.02,10.74,68.86,5.25,0.5,0
0.915,39.692,21.0,27.0,3.3,29.17,56.57,10.12,97.87,42.74,67.79,1
1.12,13.272,1.0,23.0,4.8,92.43,1.53,1.13,72.66,93.18,54.99,0
24.678,56.754,23.0,7.0,7.2,23.04,78.06,54.86,92.87,28.59,33.1,1
10.806,68.946,33.0,8.0,7.8,28.92,36.16,97.34,80.43,42.72,16.9,1
3.812,80.059,26.0,32.0,1.8,36.94,40.64,43.87,16.31,10.19,46.67,1
15.667,20.015,0.0,32.0,11.7,66.37,80.94,54.08,24.92,49.36,10.03,0
23.1,16.748,7.0,18.0,6.5,11.82,37.93,96.8,34.19,69.65,33.61,0
6.475,10.457,22.0,2.0,1.6,95.39,4.72,25.52,16.83,27.12,37.92,0
18.687,63.643,5.0,9.0,10.7,86.56,17.64,85.85,58.17,29.67,46.56,1
2.56,70.648,21.0,0.0,0.9,57.72,95.59,54.64,97.55,84.2,46.66,1
1.55,3.159,24.0,28.0,10.9,67.4,7.04,56.95,76.15,1.04,25.7,0
